Treated,ClosestParty,strongPARTISAN,ControlScenario_1,ControlScenario_2,ControlScenario_3,TreatmentScenario _1,TreatmentScenario _2,TreatmentScenario _3,RepublicanAffect_1,RepublicanAffect_2,RepublicanAffect_3,RepublicanAffect_4,DemocraticAffect_1,DemocraticAffect_2,DemocraticAffect_3,DemocraticAffect_4,RepublicanIdentity_1,RepublicanIdentity_2,RepublicanIdentity_3,RepublicanIdentity_4,DemocraticIdentity_1,DemocraticIdentity_2,DemocraticIdentity_3,DemocraticIdentity_4,gender,college_stats,year,US,InPartyAffect_1,InPartyAffect_2,InPartyAffect_3,InPartyAffect_4,InPartyAffect_avg,OutPartyAffect_1,OutPartyAffect_2,OutPartyAffect_3,OutPartyAffect_4,OutPartyAffect_avg,InPartyIdentity_1,InPartyIdentity_2,InPartyIdentity_3,InPartyIdentity_4,InPartyIdentity_avg,OutPartyIdentity_1,OutPartyIdentity_2,OutPartyIdentity_3,OutPartyIdentity_4,OutPartyIdentity_avg,AffectDiff_1,AffectDiff_2,AffectDiff_3,AffectDiff_4,AffectDiff_avg,IdentityDiff_1,IdentityDiff_2,IdentityDiff_3,IdentityDiff_4,IdentityDiff_avg
FALSE,the Democratic Party,TRUE,hills,countryside,farms,NA,NA,NA,4,3,3,4,6,6,4,5,3,5,3,3,6,6,6,6,Woman,TRUE,3,FALSE,6,6,4,5,5.25,4,3,3,4,3.5,6,6,6,6,6,3,5,3,3,3.5,2,3,1,1,1.75,3,1,3,3,2.5
FALSE,the Democratic Party,FALSE,"On the way out of Boston, I imagine passing TD Gardens and seeing the city skyline, the highways, and the cars passing along.","As I exit the city, I imagine seeing the trees, suburban land, and the population density decrease.","I imagined my friends laughing along with me on the bus as well, I figured I would not go alone.",NA,NA,NA,3,4,2,5,3,4,3,4,2,5,2,3,2,3,3,5,Man,TRUE,3,TRUE,3,4,3,4,3.5,3,4,2,5,3.5,2,3,3,5,3.25,2,5,2,3,3,0,0,1,-1,0,0,-2,1,2,0.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,"What the person does for a living. What they like about their job, what they don't like, and what interests them about their career path.","My experience at Harvard. We'd talk about my favorite classes, the stress levels, things I do for fun, and the living situation on campus.","Where we're each headed. We'd talk about why we're each headed out of Boston, whether it's for work/school, and how long we'll be gone for.",4,5,4,5,6,6,5,5,3,5,4,5,4,6,4,6,Man,TRUE,3,TRUE,6,6,5,5,5.5,4,5,4,5,4.5,4,6,4,6,5,3,5,4,5,4.25,2,1,1,0,1,1,1,0,1,0.75
TRUE,the Democratic Party,TRUE,NA,NA,NA,The weather in Boston,What going to college a Harvard is like,Affirmative action at Harvard,3,3,3,3,5,4,3,4,3,4,4,3,6,5,4,5,Woman,FALSE,4,TRUE,5,4,3,4,4,3,3,3,3,3,6,5,4,5,5,3,4,4,3,3.5,2,1,0,1,1,3,1,0,2,1.5
FALSE,the Democratic Party,TRUE,"Trees, with changing colors, in shades of orange and yellow",Flocks of birds flying,Rivers,NA,NA,NA,1,2,2,2,6,6,5,6,2,3,2,3,4,6,4,5,Man,TRUE,4,TRUE,6,6,5,6,5.75,1,2,2,2,1.75,4,6,4,5,4.75,2,3,2,3,2.5,5,4,3,4,4,2,3,2,2,2.25
FALSE,the Democratic Party,FALSE,Towering birch trees,"Long, old, stone walls",Various birds flying across the sky,NA,NA,NA,4,3,4,4,5,4,4,4,2,4,3,4,6,5,4,6,Man,FALSE,4,TRUE,5,4,4,4,4.25,4,3,4,4,3.75,6,5,4,6,5.25,2,4,3,4,3.25,1,1,0,0,0.5,4,1,1,2,2
FALSE,the Republican Party,FALSE,Trees,River/Lake,Blue Skies,NA,NA,NA,5,5,4,4,4,4,4,4,3,4,3,4,2,4,3,4,Woman,FALSE,3,FALSE,5,5,4,4,4.5,4,4,4,4,4,3,4,3,4,3.5,2,4,3,4,3.25,1,1,0,0,0.5,1,0,0,0,0.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,"Where is this person going? I would ask why they are taking the bus, and where is there destination. From there, I would ask them for more details about their travels, and tell them my travel plans. I would never ask them about their politics.","Where are they from? I would ask where this person is from, i.e. where they grew up. This would be followed by questions about their hometown, and I would draw comparisons between our home towns.","If they are my age, I would ask if they are a college student, and if so, where they go to school. If not, we would have a discussion about current jobs and future career aspirations.",2,4,4,4,7,4,7,6,1,4,4,4,6,5,4,5,Man,TRUE,3,TRUE,7,4,7,6,6,2,4,4,4,3.5,6,5,4,5,5,1,4,4,4,3.25,5,0,3,2,2.5,5,1,0,1,1.75
TRUE,the Democratic Party,TRUE,NA,NA,NA,weather,economy,values,4,3,2,3,2,4,1,1,6,5,5,5,3,3,5,3,Man,TRUE,4,TRUE,2,4,1,1,2,4,3,2,3,3,3,3,5,3,3.5,6,5,5,5,5.25,-2,1,-1,-2,-1,-3,-2,0,-2,-1.75
TRUE,the Democratic Party,TRUE,NA,NA,NA,How their day was.,What they do for work.,How long they have been in Boston,2,2,2,2,6,6,5,6,3,3,3,3,6,6,6,6,Woman,TRUE,3,TRUE,6,6,5,6,5.75,2,2,2,2,2,6,6,6,6,6,3,3,3,3,3,4,4,3,4,3.75,3,3,3,3,3
