subject,treated,JapanPos,JapanWarm,JapanAdmire,JapanRespect,ChinaPos,ChinaWarm,ChinaAdmire,ChinaRespect,PosDiff,WarmDiff,AdmireDiff,RespectDiff,JapanID_avg,ChinaID_avg,ID_diff_avg,age,gender,jpfriend,MediaInd,freetrade,school_major,PrejControl
201,TRUE,3,3,3,3,5,6,5,5,2,3,2,2,4.300000190734863,5.9666668176651,1.6666666269302368,22,0,0,4,1,4,4.352941036224365
202,TRUE,2,2,2,3,7,7,7,7,5,5,5,4,4.199999809265137,6.133333086967468,1.9333332777023315,25,1,0,5,1,3,3.411764621734619
203,TRUE,5,4,4,4,5,6,6,6,0,2,2,2,3.5333333015441895,4.099999964237213,0.5666666626930237,24,0,0,4,1,3,4.352941036224365
204,TRUE,2,3,2,3,3,4,4,4,1,1,2,1,3.633333444595337,3.700000114738941,0.06666667014360428,25,1,0,5,1,2,5.058823585510254
205,TRUE,6,5,5,4,5,7,5,4,-1,2,0,0,3.566666603088379,3.9333332777023315,0.36666667461395264,23,0,1,4,1,4,3.7058823108673096
206,TRUE,5,5,5,4,6,5,6,5,1,0,1,1,3.5333333015441895,3.899999976158142,0.36666667461395264,20,0,1,5,0,1,2.8235294818878174
207,TRUE,5,4,5,5,6,5,5,6,1,1,0,1,3.366666555404663,3.5333332270383835,0.1666666716337204,25,0,1,3,1,2,4.470588207244873
208,TRUE,5,6,5,5,3,3,3,3,-2,-3,-2,-2,3.366666555404663,2.566666543483734,-0.800000011920929,25,1,0,5,1,3,4.235294342041016
209,TRUE,5,3,5,5,6,6,5,4,1,3,0,-1,3.2666666507720947,2.933333307504654,-0.3333333432674408,22,0,1,4,1,2,4.411764621734619
210,TRUE,5,3,3,4,6,6,5,5,1,3,2,1,4.0333333015441895,4.833333313465118,0.800000011920929,25,0,0,4,1,3,3.941176414489746
211,TRUE,6,5,6,5,3,3,5,5,-3,-2,-1,0,3.299999952316284,3.7333332896232605,0.4333333373069763,30,0,0,4,1,3,3.882352828979492
212,TRUE,2,2,1,3,5,5,5,5,3,3,4,2,3.9666666984558105,4.600000023841858,0.6333333253860474,21,0,0,5,0,2,4.470588207244873
213,TRUE,3,4,3,4,5,6,5,5,2,2,2,1,4.133333206176758,5.599999904632568,1.4666666984558105,20,0,0,5,1,4,4.176470756530762
214,TRUE,5,4,6,6,4,4,3,4,-1,0,-3,-2,3.566666603088379,3.633333273231983,0.06666667014360428,21,0,1,5,1,2,3.941176414489746
215,TRUE,5,3,3,6,2,2,3,2,-3,-1,0,-4,4.066666603088379,4.633333265781403,0.5666666626930237,23,1,0,3,1,1,4.588235378265381
216,TRUE,3,3,4,4,3,5,4,4,0,2,0,0,3.5333333015441895,3.7333333045244217,0.20000000298023224,18,0,0,5,0,2,5.058823585510254
217,TRUE,5,5,5,4,5,4,4,4,0,-1,-1,0,3.633333444595337,3.933333456516266,0.30000001192092896,22,1,1,5,1,1,3.2941176891326904
218,TRUE,6,5,5,4,5,6,6,5,-1,1,1,1,3.633333444595337,4.433333456516266,0.800000011920929,24,1,0,3,1,3,4.235294342041016
219,TRUE,6,5,5,5,5,6,6,6,-1,1,1,1,3.3333332538604736,3.9333332777023315,0.6000000238418579,26,1,0,4,3,2,4.058823585510254
220,TRUE,6,4,4,4,5,6,4,5,-1,2,0,1,3.4666666984558105,4.000000059604645,0.5333333611488342,26,1,0,5,1,3,4.117647171020508
221,TRUE,2,1,1,5,5,6,2,2,3,5,1,-3,3.700000047683716,3.333333373069763,-0.36666667461395264,21,1,0,4,1,3,3.588235378265381
222,TRUE,4,3,6,5,5,5,6,6,1,2,0,1,3.0999999046325684,3.499999910593033,0.4000000059604645,24,1,1,5,1,1,4.882352828979492
223,TRUE,6,5,5,4,6,5,6,7,0,0,1,3,3.299999952316284,3.899999976158142,0.6000000238418579,24,0,1,4,1,2,3.2352941036224365
224,TRUE,5,4,5,4,6,5,5,6,1,1,0,2,2.9666666984558105,2.833333358168602,-0.13333334028720856,19,0,1,5,1,2,4.235294342041016
225,TRUE,5,5,4,5,6,6,6,6,1,1,2,1,3.133333444595337,3.666666805744171,0.5333333611488342,23,0,1,5,1,3,4.529411792755127
226,TRUE,4,5,3,4,4,4,5,5,0,-1,2,1,3.5333333015441895,3.6333333030343056,0.10000000149011612,19,1,0,4,3,3,3
227,TRUE,6,5,5,5,5,6,7,7,-1,1,2,2,3.4000000953674316,4.300000071525574,0.8999999761581421,23,1,1,5,1,1,3.470588207244873
228,TRUE,3,3,5,3,5,6,5,4,2,3,0,1,3.9666666984558105,4.633333384990692,0.6666666865348816,28,1,0,3,1,2,4
229,TRUE,5,6,5,6,3,3,4,4,-2,-3,-1,-2,3.5,3.233333319425583,-0.2666666805744171,19,0,0,5,0,3,4
230,TRUE,3,5,4,4,4,6,4,4,1,1,0,0,3.5333333015441895,4.066666662693024,0.5333333611488342,19,1,0,5,1,2,4.235294342041016
231,TRUE,5,5,5,5,6,6,6,6,1,1,1,1,3.3333332538604736,4.133333265781403,0.800000011920929,18,0,0,5,1,2,4.352941036224365
232,TRUE,3,5,5,5,6,6,6,5,3,1,1,0,3.4000000953674316,3.833333432674408,0.4333333373069763,28,0,1,5,1,2,4.294117450714111
233,TRUE,5,3,6,5,6,5,5,5,1,2,-1,0,4.199999809265137,4.933333158493042,0.7333333492279053,21,0,1,3,1,1,4.176470756530762
234,TRUE,5,5,3,4,7,6,6,7,2,1,3,3,4.333333492279053,5.333333492279053,1,21,1,1,5,1,NA,3.7058823108673096
