id,wave,date,fav_trump,fav_biden,indictment,charge_serious,should_be_charged,politically_motivated,suspend_campaign,doj_hunter_nonpartisan,impeach_biden_hunter,PID,age,age4,educ5,edu4,gender,ethnicity,householdsize,inc7,marit5,metropolitan,region4,rent,state,work10,work3,parent,language,religion,race
255920001,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,Don't know,Don't know,NA,NA,A Republican,54,50-64,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Washington,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920002,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,An Independent,63,50-64,Master's degree or above,Bachelors degree or higher,Male,"Other, Non-Hispanic",1,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Oklahoma,Self-employed,Working part-time,not parents of children 0-17 YO,English,No religion,NA
255920003,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,No,Should,NA,NA,An Independent,22,18-29,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$10,000 to $24,999",Never married,Metro,NorthEast,Owned or being bought by you or someone in your household,Maine,Retired,Not working,not parents of children 0-17 YO,English,No religion,NA
255920004,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should not,Yes,Should not,NA,NA,An Independent,65,65+,High school graduate (high school diploma or the equivalent GED),High school,Male,"2+ Races, Non-Hispanic",2,"$50,000 to $74,999",Divorced,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Missouri,Other,Not working,not parents of children 0-17 YO,English,Other Christian religion,NA
255920005,1,June 9-10,No opinion,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Don't know,Yes,Don't know,NA,NA,A Republican,64,50-64,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",4,"$75,000 to $99,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Ohio,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920006,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,A Republican,89,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Colorado,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920007,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,Yes,Should not,NA,NA,A Republican,84,65+,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Widowed,Metro,South,Owned or being bought by you or someone in your household,North Carolina,Homemaker,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920008,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Don't know,Don't know,Don't know,NA,NA,A Republican,31,30-49,Master's degree or above,Bachelors degree or higher,Male,Hispanic,2,"$150,000 or more",Now Married,Metro,West,Rented for cash,Idaho,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,Mormon,NA
255920009,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,Yes,Should not,NA,NA,A Republican,85,65+,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Homemaker,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920010,1,June 9-10,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,No,Should,NA,NA,A Democrat,77,65+,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Montana,Retired,Not working,not parents of children 0-17 YO,English,No religion,NA
255920011,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,Yes,Should,NA,NA,A Republican,83,65+,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,NorthEast,Rented for cash,New York,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920012,1,June 9-10,Don't know,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,Yes,Should not,NA,NA,An Independent,55,50-64,Master's degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,South Carolina,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,No religion,NA
255920013,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,A Republican,77,65+,Master's degree or above,Bachelors degree or higher,Female,"Other, Non-Hispanic",1,"$25,000 to $49,999",Widowed,Non-Metro,South,Owned or being bought by you or someone in your household,North Carolina,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920014,1,June 9-10,No opinion,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,An Independent,75,65+,Bachelor's degree,Bachelors degree or higher,Male,"2+ Races, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Arizona,Retired,Not working,not parents of children 0-17 YO,English,Buddhist,NA
255920015,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,An Independent,74,65+,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",3,"$75,000 to $99,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Iowa,Retired,Not working,not parents of children 0-17 YO,English,Other Christian religion,NA
255920016,1,June 9-10,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,No,Should,NA,NA,A Democrat,67,65+,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",3,"$50,000 to $74,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Iowa,Homemaker,Not working,not parents of children 0-17 YO,English,Greek or Russian Orthodox,NA
255920017,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Don't know,Should not,Yes,Should not,NA,NA,A Republican,77,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,South,Rented for cash,Texas,Retired,Not working,not parents of children 0-17 YO,English,Catholic,NA
255920018,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,Don't know,Should,NA,NA,A Republican,58,50-64,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",3,"$100,000 to $149,999",Divorced,Metro,South,Owned or being bought by you or someone in your household,Virginia,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,Catholic,NA
255920019,1,June 9-10,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,No,Should,NA,NA,A Democrat,58,50-64,Master's degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$75,000 to $99,999",Never married,Metro,MidWest,Owned or being bought by you or someone in your household,Ohio,Retired,Working full-time,not parents of children 0-17 YO,English,No religion,NA
255920020,1,June 9-10,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,No,Should,NA,NA,An Independent,62,50-64,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Never married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Nebraska,Retired,Not working,not parents of children 0-17 YO,English,No religion,NA
255920021,1,June 9-10,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Should,No,Should,NA,NA,A Democrat,63,50-64,Master's degree or above,Bachelors degree or higher,Male,"Other, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Retired,Not working,not parents of children 0-17 YO,English,No religion,NA
255920022,1,June 9-10,No opinion,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Don't know,NA,NA,An Independent,83,65+,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Homemaker,Not working,not parents of children 0-17 YO,English,Jewish,NA
255920023,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,A Republican,58,50-64,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Alabama,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920024,1,June 9-10,No opinion,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,An Independent,67,65+,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Divorced,Metro,NorthEast,Owned or being bought by you or someone in your household,Connecticut,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,Jewish,NA
255920025,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,A Republican,54,50-64,Master's degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Non-Metro,MidWest,Rented for cash,Iowa,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920026,1,June 9-10,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,No,Should,NA,NA,A Democrat,47,30-49,Master's degree or above,Bachelors degree or higher,Female,"Other, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,Buddhist,NA
255920027,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Don't know,No,Should,NA,NA,A Republican,59,50-64,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Georgia,Retired,Working part-time,not parents of children 0-17 YO,English,Catholic,NA
255920028,1,June 9-10,Don't know,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should not,Yes,Should not,NA,NA,An Independent,80,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Retired,Not working,not parents of children 0-17 YO,English,Catholic,NA
255920029,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Don't know,Yes,Don't know,NA,NA,An Independent,39,30-49,Master's degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",3,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,Employed part-time (by someone else),Working part-time,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920030,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,Yes,Don't know,NA,NA,A Republican,76,65+,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$100,000 to $149,999",Divorced,Metro,West,Owned or being bought by you or someone in your household,Colorado,Self-employed,Working full-time,not parents of children 0-17 YO,English,Jewish,NA
255920031,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Don't know,No,Don't know,NA,NA,An Independent,59,50-64,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$10,000 to $24,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Ohio,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920032,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,A Republican,51,50-64,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,North Dakota,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920033,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Should not,Yes,Should,NA,NA,A Republican,56,50-64,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Arizona,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,No religion,NA
255920034,1,June 9-10,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,No,Should not,NA,NA,An Independent,68,65+,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Non-Metro,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,not parents of children 0-17 YO,English,Other Christian religion,NA
255920035,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,A Republican,69,65+,No high school diploma or GED,Less than high school,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Now Married,Metro,MidWest,Rented for cash,Indiana,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920036,1,June 9-10,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,No,Don't know,NA,NA,An Independent,59,50-64,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",3,"$50,000 to $74,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Other,Not working,not parents of children 0-17 YO,English,No religion,NA
255920037,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Don't know,No,Should not,NA,NA,A Republican,71,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Non-Metro,South,Owned or being bought by you or someone in your household,Tennessee,Retired,Working part-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920038,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Should,No,Should,NA,NA,A Democrat,51,50-64,Master's degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",3,"$50,000 to $74,999",Widowed,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,Catholic,NA
255920039,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,A Republican,54,50-64,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",5,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Alabama,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920040,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,A Republican,68,65+,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",1,"$50,000 to $74,999",Divorced,Metro,West,Owned or being bought by you or someone in your household,California,Retired,Not working,not parents of children 0-17 YO,English,No religion,NA
255920041,1,June 9-10,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,No,Don't know,NA,NA,An Independent,60,50-64,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Georgia,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,Catholic,NA
255920042,1,June 9-10,Unfavorable,No opinion,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,Yes,Should,NA,NA,A Republican,50,50-64,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920043,1,June 9-10,No opinion,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Should not,Yes,Should not,NA,NA,An Independent,32,30-49,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",Six or more,"$150,000 or more",Never married,Metro,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,No religion,NA
255920044,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,An Independent,71,65+,Master's degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$150,000 or more",Never married,Metro,MidWest,Owned or being bought by you or someone in your household,Indiana,Retired,Not working,not parents of children 0-17 YO,English,Catholic,NA
255920045,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,Yes,Should not,NA,NA,A Republican,69,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Non-Metro,West,Occupied without payment of cash rent,California,Retired,Not working,not parents of children 0-17 YO,English,Catholic,NA
255920046,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Don't know,Should not,Yes,Should not,NA,NA,A Republican,85,65+,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Georgia,Retired,Working part-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920047,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Don't know,Don't know,Don't know,Don't know,NA,NA,A Republican,39,30-49,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",Six or more,"$10,000 to $24,999",Divorced,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Self-employed,Working full-time,parents of children 0-17 YO,English,Other Christian religion,NA
255920048,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,Yes,Should not,NA,NA,A Republican,44,30-49,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",Six or more,"$50,000 to $74,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920049,1,June 9-10,Unfavorable,No opinion,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,No,Don't know,NA,NA,A Democrat,88,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"$150,000 or more",Now Married,Metro,NorthEast,Rented for cash,New York,Self-employed,Working full-time,not parents of children 0-17 YO,English,No religion,NA
255920050,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Should not,Yes,Should not,NA,NA,A Republican,74,65+,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920051,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Somewhat serious,Don't know,Don't know,Should,NA,NA,A Republican,76,65+,Master's degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Missouri,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920052,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Don't know,Should not,Yes,Should not,NA,NA,A Republican,76,65+,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920053,1,June 9-10,No opinion,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,Something else,41,30-49,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",5,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Virginia,Employed part-time (by someone else),Not working,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920054,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not serious at all,Should not,Yes,Should not,NA,NA,A Republican,64,50-64,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$10,000 to $24,999",Divorced,Non-Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Homemaker,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920055,1,June 9-10,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Not too serious,Should not,Yes,Should not,NA,NA,A Republican,66,65+,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920056,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,No,Should,NA,NA,An Independent,70,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Kansas,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
255920057,1,June 9-10,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to his handling of classified documents after he left office as president.,Very serious,Should,Don't know,Should,NA,NA,An Independent,70,65+,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Minnesota,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",NA
