id,wave,date,fav_trump,fav_biden,indictment,charge_serious,should_be_charged,politically_motivated,suspend_campaign,doj_hunter_nonpartisan,impeach_biden_hunter,PID,age,age4,educ5,edu4,gender,ethnicity,householdsize,inc7,marit5,metropolitan,region4,rent,state,work10,work3,parent,language,religion,race
256550125,2,Aug 2-3,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Very serious,Should,No,Should,Very confident,Should not,A Democrat,75,65+,Master's degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Self-employed,Working full-time,not parents of children 0-17 YO,English,Catholic,White
256550126,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Somewhat serious,Don't know,Yes,Should not,Not so confident,Don't know,A Republican,51,50-64,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Utah,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,Mormon,White
256550127,2,Aug 2-3,No opinion,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not too serious,Should not,Yes,Should,Not confident at all,Should,An Independent,73,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$150,000 or more",Widowed,Metro,South,Owned or being bought by you or someone in your household,Maryland,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550128,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not serious at all,Should not,Yes,Should not,Not confident at all,Should,A Republican,76,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Washington,Retired,Not working,not parents of children 0-17 YO,English,Other Christian religion,White
256550129,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not too serious,Should not,Yes,Should not,Not confident at all,Should,A Republican,53,50-64,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Non-Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,Catholic,White
256550130,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Somewhat serious,Don't know,Yes,Should not,Not confident at all,Don't know,An Independent,75,65+,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,Self-employed,Working full-time,not parents of children 0-17 YO,English,Jewish,White
256550131,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not too serious,Should not,Yes,Should not,Not confident at all,Should,A Republican,71,65+,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Georgia,Homemaker,Not working,not parents of children 0-17 YO,English,Other Christian religion,White
256550132,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Very serious,Should,No,Should,Not so confident,Should,A Republican,49,30-49,Master's degree or above,Bachelors degree or higher,Male,Hispanic,2,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Spanish,Catholic,2+ Races
256550133,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not serious at all,Should not,Yes,Should not,Don't know,Don't know,A Republican,46,30-49,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Divorced,Metro,MidWest,Owned or being bought by you or someone in your household,Indiana,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550134,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not too serious,Should not,Yes,Should not,Not confident at all,Should,An Independent,67,65+,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Georgia,Retired,Not working,not parents of children 0-17 YO,English,No religion,White
